Gender,Age,Openness,Neuroticism,Conscientiousness,Agreeableness,Extraversion,Personality (Class label)
Female,48,4,2,3,3,3,Open
Male,22,4,3,4,3,3,Conscientious
Male,29,3,3,4,3,3,Conscientious
Female,22,3,3,3,4,3,Agreeable
Male,23,3,4,3,4,3,Neurotic
Female,39,4,4,4,3,2,Neurotic
Male,29,4,2,3,4,3,Open
Male,26,3,4,3,3,3,Neurotic
Male,17,4,4,3,3,3,Neurotic
Female,17,3,4,3,3,3,Neurotic
Female,35,4,2,4,3,3,Conscientious
Male,39,3,3,4,3,3,Conscientious
Male,42,3,4,3,3,3,Neurotic
Male,18,4,4,3,3,3,Neurotic
Male,25,3,4,3,4,3,Neurotic
Male,17,4,4,4,4,4,Extraverted
Male,19,3,2,2,4,3,Agreeable
Female,24,3,3,3,3,4,Extraverted
Female,20,4,4,4,4,3,Agreeable
Male,38,3,4,3,3,2,Neurotic
Male,20,3,3,3,4,4,Extraverted
Male,42,4,3,3,4,4,Agreeable
Male,43,4,3,3,3,3,Open
Male,19,3,4,3,3,3,Neurotic
Male,29,4,4,3,4,3,Neurotic
Male,23,4,3,3,3,3,Open
Male,17,3,4,3,3,3,Neurotic
Male,21,3,3,3,4,3,Agreeable
Male,29,3,4,3,4,3,Neurotic
Female,25,4,3,3,3,3,Open
Male,24,4,4,5,3,3,Neurotic
Female,33,4,2,3,3,4,Open
Male,20,3,4,3,3,4,Neurotic
Male,41,4,2,4,3,3,Open
Female,17,5,4,3,4,4,Extraverted
Female,17,3,2,3,4,3,Agreeable
Male,35,3,3,4,4,3,Agreeable
Male,27,3,3,4,4,3,Agreeable
Male,17,4,4,3,4,3,Neurotic
Male,28,4,4,4,4,3,Neurotic
Male,17,3,3,3,3,4,Extraverted
Male,17,3,5,4,4,4,Neurotic
Male,33,4,3,3,3,2,Open
Female,18,4,4,3,3,3,Neurotic
Female,20,4,2,3,4,3,Open
Male,40,3,4,3,3,3,Neurotic
Male,24,4,4,4,3,3,Conscientious
Female,17,2,4,3,3,3,Neurotic
Female,18,4,4,3,3,3,Neurotic
Male,19,4,3,3,3,4,Open
Male,24,4,4,4,4,3,Neurotic
Male,20,3,4,3,3,3,Neurotic
Female,30,4,3,3,4,3,Open
Female,34,3,4,3,4,2,Neurotic
Male,27,2,2,3,3,4,Extraverted
Male,55,4,3,3,4,3,Open
Female,60,4,2,3,2,3,Open
Female,32,4,3,3,3,3,Open
Male,23,4,3,4,4,4,Agreeable
Female,19,3,4,3,3,3,Neurotic
Male,24,3,2,3,4,3,Agreeable
Male,20,3,2,3,3,4,Extraverted
Male,20,3,4,3,3,3,Neurotic
Male,17,3,3,4,4,3,Agreeable
Female,22,4,4,3,4,3,Neurotic
Male,30,3,3,4,4,3,Agreeable
Female,38,3,4,3,2,3,Neurotic
Male,18,3,4,4,4,3,Agreeable
Female,32,3,3,4,3,3,Conscientious
Female,28,4,2,3,3,3,Open
Female,31,3,4,3,3,3,Neurotic
Male,17,4,4,4,3,3,Conscientious
Male,44,4,4,4,3,3,Neurotic
Male,21,3,2,4,4,3,Conscientious
Male,22,4,3,3,3,3,Open
Male,39,4,2,3,3,3,Open
Male,20,3,4,3,3,3,Neurotic
Female,18,3,3,4,4,4,Extraverted
Female,36,3,3,3,3,4,Extraverted
Male,30,4,4,3,3,3,Open
Male,24,3,4,3,3,3,Neurotic
Female,51,4,4,3,3,3,Neurotic
Female,20,3,2,4,3,3,Conscientious
Female,43,3,3,3,4,3,Agreeable
Female,28,4,4,4,3,3,Neurotic
Male,49,4,4,3,4,4,Extraverted
Female,17,4,3,3,4,4,Extraverted
Male,37,3,4,3,4,3,Neurotic
Female,23,3,4,4,4,3,Neurotic
Male,29,3,4,4,4,3,Neurotic
Male,24,3,4,4,3,3,Neurotic
Female,60,4,3,4,3,4,Extraverted
Male,22,4,4,4,4,3,Conscientious
Female,44,4,4,3,3,3,Neurotic
Male,21,3,4,4,4,3,Neurotic
Male,23,3,4,3,3,3,Neurotic
Male,21,4,4,4,3,2,Open
Male,39,4,2,3,3,3,Open
Male,18,3,4,3,4,3,Neurotic
Female,20,3,4,3,4,3,Neurotic
Female,20,3,3,4,4,4,Extraverted
Female,47,3,4,4,3,3,Neurotic
Female,23,4,3,3,3,3,Open
Male,22,4,3,4,3,3,Conscientious
Female,22,4,4,3,3,3,Neurotic
Female,23,3,3,3,3,4,Extraverted
Female,27,4,2,3,4,3,Agreeable
Female,27,4,3,3,3,3,Open
Male,19,3,3,3,3,4,Extraverted
Male,19,3,3,3,4,4,Extraverted
Male,17,4,4,3,3,3,Neurotic
Female,20,2,4,2,3,3,Neurotic
Male,23,4,3,4,3,4,Extraverted
Male,24,4,3,3,4,3,Open
Female,32,4,4,4,3,3,Neurotic
Male,23,3,4,3,3,3,Neurotic
Female,21,3,4,4,3,4,Extraverted
Male,20,3,4,4,2,3,Neurotic
Female,17,3,4,4,3,3,Neurotic
Male,23,4,3,3,3,3,Open
Male,54,4,3,2,3,3,Open
Male,21,3,3,2,3,4,Extraverted
Male,34,4,3,3,4,3,Open
Male,30,4,2,3,3,2,Open
Male,18,4,3,3,3,3,Open
Male,18,3,4,4,3,4,Extraverted
Male,19,3,4,4,3,3,Neurotic
Female,17,4,2,3,3,3,Open
Female,52,4,2,3,3,3,Open
Male,21,3,3,4,3,3,Conscientious
Female,28,4,3,4,3,3,Conscientious
Male,30,3,4,3,3,3,Neurotic
Male,23,4,4,4,4,3,Neurotic
Female,52,4,3,3,3,3,Open
Female,26,3,3,4,4,4,Extraverted
Female,21,3,4,3,3,3,Neurotic
Female,32,4,2,3,3,3,Open
Male,18,2,3,4,3,3,Conscientious
Male,21,3,4,3,3,3,Neurotic
Male,19,4,4,4,3,3,Neurotic
Male,32,3,4,3,4,3,Neurotic
Male,24,4,3,3,3,3,Open
Male,20,3,4,4,4,3,Neurotic
Male,19,3,2,3,4,3,Agreeable
Male,19,4,3,3,3,3,Open
Female,35,3,4,3,4,3,Neurotic
Female,54,4,2,4,2,3,Conscientious
Female,18,4,4,3,4,4,Extraverted
Male,20,3,4,3,3,3,Neurotic
Male,31,3,4,3,3,3,Neurotic
Female,24,3,4,3,3,3,Neurotic
Female,42,4,2,3,3,3,Open
Male,22,3,4,3,3,3,Neurotic
Female,29,3,2,4,4,3,Agreeable
Female,68,4,2,4,4,3,Agreeable
Male,56,3,4,3,3,3,Neurotic
Male,41,4,4,3,4,3,Neurotic
Male,19,2,2,3,4,3,Agreeable
Male,19,4,3,3,3,3,Open
Female,18,3,4,3,3,3,Neurotic
Female,23,3,4,3,2,3,Neurotic
Male,18,4,4,4,3,3,Neurotic
Female,28,4,3,3,3,3,Open
Male,70,4,3,4,3,3,Conscientious
Female,38,4,3,3,3,3,Open
Male,38,3,4,3,3,3,Neurotic
Female,20,4,2,4,3,3,Conscientious
Female,18,4,3,3,3,3,Open
Male,39,4,3,3,3,3,Open
Female,36,4,3,3,4,3,Agreeable
Male,33,4,3,3,3,3,Open
Male,23,4,2,3,3,3,Open
Male,46,4,4,3,3,3,Neurotic
Female,30,3,3,3,4,4,Extraverted
Male,24,3,2,3,4,3,Agreeable
Female,34,3,4,4,3,3,Conscientious
Female,27,4,2,3,3,3,Open
Male,50,4,4,3,4,3,Neurotic
Male,59,4,3,2,3,3,Open
Female,37,4,4,3,3,3,Neurotic
Male,28,4,3,4,4,3,Agreeable
Male,55,4,3,4,4,3,Agreeable
Male,52,4,3,3,4,3,Open
Male,23,4,2,2,3,3,Open
Female,22,4,4,3,4,3,Neurotic
Female,20,4,2,3,3,3,Open
Male,18,3,3,3,4,3,Agreeable
Female,25,4,3,4,3,4,Extraverted
Male,20,3,4,3,4,3,Neurotic
Male,18,3,4,3,4,3,Neurotic
Male,52,4,3,3,3,4,Open
Female,22,3,4,3,3,3,Neurotic
Male,63,4,3,3,3,3,Open
Male,19,4,4,2,3,3,Neurotic
Male,20,4,3,3,3,3,Open
Male,17,3,4,3,4,3,Neurotic
Male,65,4,3,3,4,3,Open
Male,28,4,2,3,3,3,Open
Female,54,4,2,2,3,3,Open
Male,29,3,4,3,3,2,Neurotic
Male,55,4,3,3,3,3,Open
Female,17,3,4,3,3,3,Neurotic
Male,20,4,4,3,4,2,Neurotic
Male,17,4,3,4,3,3,Open
Male,21,4,4,2,3,2,Neurotic
Male,22,3,4,3,3,3,Neurotic
Male,20,4,4,3,4,4,Extraverted
Male,22,4,3,3,4,3,Agreeable
Male,21,3,4,3,4,3,Neurotic
Male,19,4,3,3,4,4,Extraverted
Male,19,3,3,3,4,3,Agreeable
Male,51,4,3,3,3,3,Open
Male,17,3,4,3,3,3,Neurotic
Male,17,4,3,3,4,2,Agreeable
Female,36,4,4,4,3,2,Neurotic
Male,21,3,4,3,4,4,Neurotic
Male,58,4,3,3,3,3,Open
Female,17,3,4,3,3,3,Neurotic
Female,40,4,4,3,4,4,Neurotic
Male,22,3,4,3,3,3,Neurotic
Female,30,3,4,3,4,4,Extraverted
Female,63,3,4,3,3,3,Neurotic
Male,17,2,2,3,4,3,Agreeable
Male,18,3,5,3,4,3,Neurotic
Male,17,4,3,3,3,3,Open
Male,18,3,3,3,3,4,Extraverted
Female,17,4,3,3,4,3,Open
Female,68,4,2,3,3,3,Open
Male,35,3,3,4,3,3,Conscientious
Male,62,4,3,4,3,3,Conscientious
Male,17,3,4,2,4,3,Neurotic
Female,36,3,3,4,3,2,Conscientious
Female,36,3,4,3,3,3,Neurotic
Male,18,3,4,3,4,4,Agreeable
Female,40,4,2,3,3,3,Open
Male,22,3,3,3,3,4,Extraverted
Male,17,3,3,4,3,3,Conscientious
Female,52,4,2,4,3,3,Open
Male,30,4,4,4,4,3,Neurotic
Male,27,4,4,4,3,3,Neurotic
Male,17,4,3,3,3,4,Open
Female,25,4,4,2,3,3,Neurotic
Male,32,4,3,3,4,2,Agreeable
Female,37,3,3,4,3,3,Conscientious
Female,33,4,4,3,4,4,Extraverted
Female,20,4,4,3,3,2,Neurotic
Male,25,4,4,4,4,3,Agreeable
Male,19,4,4,4,4,4,Extraverted
Male,44,4,2,3,3,3,Open
Female,36,4,3,3,3,4,Extraverted
Male,27,4,3,3,3,3,Open
Male,25,3,4,4,4,3,Neurotic
Male,19,3,4,3,3,3,Neurotic
Female,21,3,2,3,3,4,Extraverted
Male,22,4,5,3,4,3,Neurotic
Female,28,3,3,2,4,3,Agreeable
Female,28,3,3,3,3,4,Extraverted
Female,29,3,4,3,4,3,Neurotic
Female,18,4,3,3,3,3,Open
Male,25,3,4,2,3,3,Neurotic
Male,19,3,4,4,4,4,Neurotic
Female,50,4,4,3,3,3,Neurotic
Male,26,4,4,3,4,3,Neurotic
Male,57,4,3,3,4,3,Open
Male,42,3,3,3,4,3,Agreeable
Male,38,4,3,4,3,3,Conscientious
Female,63,4,4,4,3,3,Neurotic
Female,19,3,2,3,3,4,Extraverted
Female,34,3,4,4,3,3,Neurotic
Female,23,4,4,2,4,3,Neurotic
Female,21,3,4,3,3,3,Neurotic
Male,39,4,4,3,3,3,Neurotic
Male,27,3,3,3,3,4,Extraverted
Female,42,3,4,3,3,3,Neurotic
Female,37,4,4,4,4,4,Neurotic
Male,53,4,3,4,3,4,Conscientious
Male,20,4,3,3,4,3,Agreeable
Male,23,4,3,3,4,4,Extraverted
Male,19,3,4,3,3,3,Neurotic
Male,46,4,3,3,3,3,Open
Male,21,4,4,3,3,3,Neurotic
Male,39,3,2,4,4,3,Conscientious
Male,21,4,3,3,3,3,Open
Female,23,4,2,3,3,3,Open
Male,50,3,3,4,3,3,Conscientious
Male,17,3,4,3,3,2,Neurotic
Male,24,4,4,3,4,3,Open
Male,42,4,4,3,3,3,Neurotic
Male,36,4,4,3,3,3,Neurotic
Male,19,3,4,3,3,3,Neurotic
Male,21,4,3,3,3,3,Open
Male,42,4,3,3,3,3,Open
Female,26,3,3,3,4,3,Agreeable
Female,50,4,3,3,3,3,Open
Male,42,4,3,4,3,3,Conscientious
Female,32,4,4,3,4,4,Extraverted
Male,20,3,4,4,3,3,Conscientious
Female,39,4,2,3,3,3,Open
Male,57,4,3,3,3,3,Open
Female,29,3,5,4,3,3,Neurotic
Male,17,4,4,3,3,3,Neurotic
Male,21,3,4,4,3,4,Extraverted
Male,57,4,3,3,3,3,Open
Male,39,3,2,2,3,4,Extraverted
Male,23,4,4,3,3,3,Open
Male,58,4,3,3,3,3,Open
Male,54,4,3,3,3,3,Open
Female,56,4,4,3,3,4,Neurotic
Female,52,3,4,4,4,3,Neurotic
Male,22,4,2,3,3,3,Open
Male,20,3,4,3,4,3,Neurotic
Male,48,4,2,3,3,3,Open
Female,33,4,1,2,3,4,Open
Male,19,3,4,4,3,3,Neurotic
Male,36,4,3,3,3,3,Open
Male,36,4,4,4,3,3,Neurotic
Male,35,3,2,3,4,3,Agreeable
Male,24,4,3,3,3,4,Open
Male,19,3,4,4,4,3,Neurotic
Female,27,4,4,4,4,3,Neurotic
Female,22,3,4,2,3,3,Neurotic
Female,26,4,3,3,4,3,Agreeable
Male,17,4,4,3,4,3,Neurotic
Male,49,3,3,3,4,3,Agreeable
Female,23,4,4,3,3,3,Open
Male,29,4,3,3,3,4,Extraverted
Male,28,4,3,4,4,3,Conscientious
Male,56,3,4,2,3,3,Neurotic
Female,17,3,4,2,3,4,Extraverted
Female,19,4,2,3,3,3,Open
Male,20,3,4,3,4,4,Extraverted
Male,23,3,4,3,3,3,Neurotic
Male,22,4,2,3,3,3,Open
Female,23,3,3,3,3,4,Extraverted
Male,20,4,4,4,4,3,Neurotic
Male,26,4,4,4,3,3,Neurotic
Male,27,3,4,2,4,3,Neurotic
Male,21,4,4,3,4,4,Extraverted
Female,19,3,4,3,4,4,Neurotic
Male,18,4,4,3,3,3,Neurotic
Female,34,3,3,4,3,3,Conscientious
Male,50,3,4,3,3,3,Neurotic
Female,18,4,4,3,3,4,Extraverted
Male,30,3,4,3,3,3,Neurotic
Female,21,4,4,3,3,2,Neurotic
Male,19,3,4,3,4,3,Neurotic
Male,24,3,4,4,3,3,Neurotic
Male,19,4,4,4,4,3,Neurotic
Female,17,3,3,3,3,4,Extraverted
Male,55,4,2,3,3,3,Open
Female,61,4,2,3,3,3,Open
Male,42,4,2,4,3,3,Open
Male,21,3,4,4,3,3,Neurotic
Female,40,4,4,3,3,3,Neurotic
Female,28,4,2,2,3,3,Open
Male,27,3,4,4,4,3,Neurotic
Female,27,4,2,3,3,3,Open
Male,20,3,3,3,4,3,Agreeable
Male,45,3,4,3,3,3,Neurotic
Male,41,4,3,3,4,3,Agreeable
Male,23,4,4,4,4,4,Extraverted
Male,36,3,3,4,4,3,Conscientious
Male,30,4,3,3,3,3,Open
Male,31,3,4,2,3,3,Neurotic
Male,27,4,3,4,4,4,Extraverted
Female,23,3,3,3,4,3,Agreeable
Male,20,4,3,3,3,3,Open
Female,57,3,2,3,4,3,Agreeable
Male,51,3,3,3,4,3,Agreeable
Male,19,4,4,3,3,3,Neurotic
Female,44,3,3,3,4,3,Agreeable
Female,33,3,4,2,3,3,Neurotic
Female,17,3,4,3,3,3,Neurotic
Male,17,4,5,4,4,3,Neurotic
Male,26,4,4,3,3,3,Neurotic
Female,22,3,4,3,3,3,Neurotic
Female,17,4,3,3,2,3,Open
Male,19,3,4,3,4,3,Agreeable
Male,33,4,2,3,3,3,Open
Female,30,3,4,3,4,3,Neurotic
Male,19,4,4,3,4,3,Open
Male,29,3,3,4,4,3,Agreeable
Male,56,4,4,4,2,3,Neurotic
Female,18,3,5,3,3,4,Extraverted
Female,24,3,4,4,4,3,Neurotic
Female,19,4,3,3,3,3,Open
Male,28,4,4,3,3,3,Neurotic
Male,25,4,3,2,4,4,Extraverted
Female,17,3,3,3,4,3,Agreeable
Male,18,4,3,4,3,3,Conscientious
Male,38,3,4,3,3,3,Neurotic
Male,19,3,2,3,4,3,Agreeable
Male,42,4,3,3,4,3,Agreeable
Female,18,3,4,3,3,3,Neurotic
Male,33,4,3,3,4,3,Open
Male,25,3,4,3,3,3,Neurotic
Female,29,4,3,2,3,3,Open
Male,50,3,2,3,3,4,Extraverted
Male,30,3,2,4,4,4,Extraverted
Male,25,3,3,3,4,4,Agreeable
Female,53,4,2,4,3,3,Open
Female,19,3,4,3,3,3,Neurotic
Female,26,4,3,3,3,4,Open
Male,30,4,2,3,4,3,Agreeable
Male,30,3,3,4,4,3,Agreeable
Female,22,4,3,3,3,4,Open
Male,29,3,4,3,3,3,Neurotic
Female,24,4,2,3,3,3,Open
Male,18,4,4,4,3,3,Conscientious
Male,30,3,3,4,3,4,Extraverted
Female,20,4,3,3,3,4,Open
Male,26,4,3,3,3,3,Open
Male,23,4,4,4,3,3,Neurotic
Female,28,3,4,3,3,3,Neurotic
Female,29,3,3,4,3,3,Conscientious
Female,36,4,2,3,3,4,Extraverted
Male,27,4,4,3,3,2,Neurotic
Male,37,4,3,3,3,3,Open
Male,28,4,3,3,4,3,Open
Female,22,4,4,3,3,2,Neurotic
Male,32,3,2,4,3,3,Conscientious
Male,30,4,2,4,3,3,Conscientious
Female,22,4,3,3,3,3,Open
Male,31,3,4,4,3,4,Neurotic
Female,43,4,2,3,3,3,Open
Male,19,3,4,3,4,3,Neurotic
Male,22,3,4,3,3,3,Neurotic
Female,46,3,4,3,2,3,Neurotic
Male,21,3,3,4,3,3,Conscientious
Male,18,3,4,4,3,3,Neurotic
Male,32,4,3,2,4,3,Agreeable
Female,34,3,3,3,4,4,Extraverted
Male,20,3,4,3,3,3,Neurotic
Male,17,4,3,4,3,4,Extraverted
Male,24,4,4,3,3,3,Open
Male,31,4,4,3,3,3,Neurotic
Male,17,3,4,3,3,3,Neurotic
Female,53,3,3,3,3,4,Extraverted
Female,18,3,3,3,3,4,Extraverted
Male,21,3,4,3,4,3,Neurotic
Male,22,3,3,4,3,3,Conscientious
Male,18,3,3,4,4,3,Agreeable
Male,23,4,4,4,4,3,Neurotic
Male,40,4,2,3,3,3,Open
Male,21,4,4,3,3,3,Neurotic
Female,21,4,3,3,3,3,Open
Female,29,4,4,4,4,4,Extraverted
Female,21,4,2,3,3,3,Open
Female,22,4,3,3,4,4,Extraverted
Female,18,4,3,3,3,3,Open
Male,50,4,2,3,3,3,Open
Male,19,4,4,3,4,3,Neurotic
Male,17,3,4,3,3,3,Neurotic
Female,19,4,3,3,3,3,Open
Male,47,4,3,3,3,4,Extraverted
Male,47,4,4,3,3,3,Neurotic
Female,39,4,4,3,4,3,Neurotic
Male,19,4,4,4,3,3,Neurotic
Male,33,3,4,3,4,3,Neurotic
Female,21,4,2,4,3,3,Conscientious
Female,17,4,3,3,3,3,Open
Male,20,4,2,3,4,3,Open
Male,48,4,3,2,3,3,Open
Male,19,3,3,4,3,4,Extraverted
Male,31,4,3,3,3,3,Open
Male,22,3,3,4,3,4,Conscientious
Male,27,3,4,3,3,3,Neurotic
Male,19,3,4,3,3,3,Neurotic
Female,48,4,3,4,4,3,Conscientious
Male,22,3,4,3,4,3,Agreeable
Female,44,4,3,4,3,4,Conscientious
Female,17,3,4,4,3,3,Neurotic
Male,24,4,3,3,3,4,Extraverted
Female,18,3,3,3,4,4,Extraverted
Male,23,4,4,4,3,3,Neurotic
Female,22,4,2,3,3,3,Open
Female,19,4,3,3,4,3,Agreeable
Male,34,4,3,3,3,3,Open
Female,42,3,3,3,4,3,Agreeable
Female,19,3,4,3,4,3,Neurotic
Male,26,3,4,4,4,4,Extraverted
Male,19,3,4,3,3,4,Neurotic
Male,33,4,5,4,4,4,Extraverted
Male,20,3,3,4,4,3,Agreeable
Male,50,4,3,4,2,3,Conscientious
Male,40,4,2,3,2,2,Open
Female,32,3,4,3,3,3,Neurotic
Female,25,4,3,3,4,2,Agreeable
Male,19,4,3,3,3,3,Open
Male,25,4,3,3,4,3,Open
Male,29,3,4,3,3,3,Neurotic
Male,56,4,3,3,3,3,Open
Male,19,3,4,3,3,3,Neurotic
Male,24,3,4,4,4,3,Neurotic
Female,21,4,2,3,2,2,Open
Female,34,4,2,3,4,3,Open
Female,28,4,3,4,3,3,Open
Female,53,4,4,3,3,3,Neurotic
Male,22,3,4,3,4,3,Neurotic
Male,31,4,3,3,3,3,Open
Female,37,4,4,3,3,4,Neurotic
Male,47,4,3,3,3,3,Open
Male,20,4,4,4,4,4,Extraverted
Female,26,3,3,4,4,4,Extraverted
Male,32,3,3,3,4,3,Agreeable
Male,40,4,4,4,4,3,Neurotic
Female,17,3,3,3,3,4,Extraverted
Male,23,3,2,3,3,4,Extraverted
Female,23,4,3,3,3,4,Open
Male,36,4,3,3,3,3,Open
Male,22,3,3,2,4,4,Extraverted
Female,22,3,4,3,4,3,Neurotic
Female,25,3,4,3,4,3,Neurotic
Female,19,3,4,4,3,4,Conscientious
Male,30,3,4,3,3,3,Neurotic
Male,17,3,4,4,3,3,Neurotic
Female,24,4,4,4,4,4,Extraverted
Female,28,4,3,4,3,3,Conscientious
Male,27,4,2,3,4,3,Agreeable
Female,19,4,4,4,3,4,Neurotic
Male,41,3,4,3,3,3,Neurotic
Male,19,3,3,3,4,3,Agreeable
Male,18,3,3,4,3,4,Conscientious
Female,25,4,2,3,3,2,Open
Female,19,4,4,3,3,3,Neurotic
Male,42,4,3,4,3,3,Open
Female,23,4,4,4,3,4,Extraverted
Male,25,4,2,3,3,3,Open
Male,22,4,3,3,4,4,Extraverted
Female,48,3,4,3,3,3,Neurotic
Male,18,4,3,4,4,3,Agreeable
Female,39,4,2,3,4,2,Open
Male,19,4,2,3,3,3,Open
Male,20,3,4,3,3,3,Neurotic
Male,22,3,4,3,4,3,Neurotic
Male,52,3,2,3,4,4,Extraverted
Male,17,4,5,4,3,3,Neurotic
Male,25,3,4,3,3,3,Neurotic
Male,26,4,2,3,3,3,Open
Male,33,4,3,3,3,3,Open
Male,50,4,2,3,3,2,Open
Female,22,3,4,3,4,3,Neurotic
Male,24,4,4,3,4,3,Neurotic
Female,20,3,3,3,4,3,Agreeable
Male,18,4,3,4,3,2,Conscientious
Female,20,4,2,3,3,4,Open
Male,17,4,3,4,3,2,Open
Female,32,4,4,4,4,3,Neurotic
Male,21,4,2,3,4,4,Agreeable
Male,54,4,3,3,3,3,Open
Female,22,4,3,3,3,3,Open
Male,50,4,3,4,3,3,Open
Male,17,3,4,4,3,3,Neurotic
Male,30,4,3,3,4,3,Agreeable
Male,40,3,3,4,3,3,Conscientious
Male,29,3,4,3,3,3,Neurotic
Female,33,4,3,3,3,3,Open
Male,22,3,2,3,2,4,Extraverted
Female,53,4,2,3,3,3,Open
Male,20,4,3,4,3,3,Conscientious
Male,52,4,3,3,3,3,Open
Male,31,3,3,4,3,3,Conscientious
Male,50,4,3,3,3,3,Open
Female,25,3,4,3,3,3,Neurotic
Female,40,4,2,3,3,2,Open
Female,52,3,4,3,3,4,Extraverted
Male,20,4,4,3,4,2,Neurotic
Male,38,4,3,3,4,4,Open
Female,59,3,4,3,3,3,Neurotic
Female,30,4,3,3,3,3,Open
Female,48,3,4,3,3,3,Neurotic
Female,20,3,3,3,4,4,Extraverted
Female,32,4,4,3,3,3,Neurotic
Female,27,4,2,3,3,3,Open
Male,23,4,3,3,3,3,Open
Male,25,3,4,2,3,3,Neurotic
Male,18,4,4,3,3,3,Neurotic
Male,22,3,3,3,4,3,Agreeable
Female,22,4,3,3,3,3,Open
Male,18,4,4,3,3,3,Neurotic
Female,21,3,3,3,4,3,Agreeable
Male,35,3,4,3,4,3,Neurotic
Male,20,3,4,3,3,3,Neurotic
Male,25,3,4,3,3,3,Neurotic
Female,24,4,3,3,4,4,Agreeable
Male,18,4,2,3,4,3,Agreeable
Female,18,4,3,3,3,3,Open
Male,22,4,2,4,3,3,Conscientious
Female,41,4,2,3,4,3,Agreeable
Female,17,4,2,3,3,3,Open
Male,17,4,4,4,3,3,Neurotic
Male,21,4,3,3,3,3,Open
Male,30,4,4,3,3,4,Neurotic
Male,26,3,3,4,4,3,Agreeable
Female,17,4,2,3,3,3,Open
